eb_n0_db,empirical_ber,theoretical_ber,frame_success_rate,n_trials
-2.0,0.13049299568965517,0.13064448852282923,0.0,4000
-1.0,0.1036082974137931,0.1037590959534063,0.0,4000
0.0,0.07897252155172414,0.07864960352514257,0.0,4000
1.0,0.056247844827586206,0.056281951976541456,0.0,4000
2.0,0.037426724137931036,0.03750612835892598,0.0,4000
3.0,0.022780172413793102,0.022878407561085324,0.0,4000
4.0,0.01246875,0.012500818040737556,0.0035,4000
5.0,0.005915948275862069,0.005953867147778661,0.063,4000
6.0,0.0024224137931034484,0.0023882907809328075,0.32525,4000
7.0,0.0007661637931034483,0.0007726748153784444,0.70025,4000
8.0,0.00018642241379310346,0.00019090777407599314,0.9175,4000
9.0,3.394396551724138e-05,3.3627228419617485e-05,0.98425,4000
10.0,5.387931034482758e-06,3.872108215522037e-06,0.9975,4000
