eb_n0_db,bpsk_empirical_ber,qpsk_empirical_ber,theoretical_ber
0,0.07961,0.080015,0.07864960352514257
1,0.05601,0.05581,0.056281951976541456
2,0.03759,0.03784,0.03750612835892598
3,0.02294,0.022815,0.022878407561085324
4,0.01249,0.01297,0.012500818040737556
5,0.005975,0.006035,0.005953867147778661
6,0.00238,0.002445,0.0023882907809328075
7,0.00069,0.00082,0.0007726748153784444
8,0.00018,0.00024,0.00019090777407599314
9,1.5e-05,3.5e-05,3.3627228419617485e-05
10,0.0,0.0,3.872108215522037e-06
