p_error,empirical_ber,frame_success_rate,crc_pass_rate,undetected_error_rate,n_trials
0.0,0.0,1.0,1.0,0.0,4000
0.005,0.004978987068965517,0.097,0.09975,0.00275,4000
0.01,0.009942887931034483,0.00875,0.0135,0.00475,4000
0.015,0.014893318965517242,0.00175,0.0065,0.00475,4000
0.02,0.019921875,0.0,0.00325,0.00325,4000
0.025,0.024877693965517242,0.0,0.00375,0.00375,4000
0.03,0.030049030172413792,0.0,0.004,0.004,4000
0.035,0.034878771551724135,0.0,0.00325,0.00325,4000
0.04,0.03986530172413793,0.0,0.00375,0.00375,4000
0.045,0.04512446120689655,0.0,0.00375,0.00375,4000
0.05,0.050091594827586204,0.0,0.00275,0.00275,4000
