eb_n0_db,empirical_ber,theoretical_ber,n_trials,bits_per_trial,total_bits,total_errors
0,0.078695,0.07864960352514257,100,2000,200000,15739
1,0.057145,0.056281951976541456,100,2000,200000,11429
2,0.03848,0.03750612835892598,100,2000,200000,7696
3,0.02448,0.022878407561085324,100,2000,200000,4896
4,0.013395,0.012500818040737556,100,2000,200000,2679
5,0.00683,0.005953867147778661,100,2000,200000,1366
6,0.002845,0.0023882907809328075,100,2000,200000,569
7,0.0009,0.0007726748153784444,100,2000,200000,180
8,0.000285,0.00019090777407599314,100,2000,200000,57
9,6.5e-05,3.3627228419617485e-05,100,2000,200000,13
10,5e-06,3.872108215522037e-06,100,2000,200000,1
