tap_index,alpha_0.0,alpha_0.2,alpha_0.35,alpha_0.5,alpha_1.0
-16,-1.414059915196224e-17,0.016590310027641005,0.02023474234438046,0.01501227698050258,-0.007146172120125321
-15,-0.023566514134804827,-0.002933848256658296,0.009103644557449447,0.01343684455579461,-0.005761913597049991
-14,-0.04665561441810875,-0.025668608851393146,-0.007819319103482773,0.00547138065001348,4.020237223502896e-18
-13,-0.06564761312550339,-0.048019341117277306,-0.028095402751547514,-0.008619637554754835,0.007717472151200294
-12,-0.07697783644942895,-0.06578698463504692,-0.04788242826259167,-0.02653820713491021,0.01286310981622558
-11,-0.07758354278468585,-0.07473562029059923,-0.06242910178643114,-0.04402930527770861,0.01088361457220554
-10,-0.06531786018535224,-0.07122380400695306,-0.0668240165505858,-0.05547814175470669,-5.743196033575568e-18
-9,-0.03927752355800797,-0.052806467142235816,-0.05688075937069718,-0.054957394516170814,-0.016537440324000646
-8,1.414059915196224e-17,-0.018712698443606558,-0.030001865033585894,-0.03753069245125643,-0.03001392290452635
-7,0.050499673146010275,0.029881624252921096,0.014145353714057582,-0.0005326354387161979,-0.02829739788773442
-6,0.1088631003089204,0.089840130979876,0.07328495152372014,0.055478141754706715,1.033775286043602e-17
-5,0.17068379412630888,0.1563279663066707,0.14261113446479035,0.12634716243220429,0.060637281188002365
-4,0.23093350934828683,0.2233251421510676,0.21530623221044823,0.20467297626644784,0.15006961452263176
-3,0.2844729902105148,0.28432803288674513,0.28343321737597815,0.2808599660558382,0.2546765809896099
-2,0.32658930092676114,0.33314552699583455,0.33906570210505976,0.3446969809508492,0.3535931988835141
-1,0.3534977120220718,0.36467964023136984,0.3754692764292772,0.3871560307526902,0.4244609683160165
0,0.36274950821814383,0.3755801798159315,0.3881326650331138,0.40204337624104647,0.45020884356789526
1,0.3534977120220718,0.36467964023136984,0.3754692764292772,0.3871560307526902,0.4244609683160165
2,0.32658930092676114,0.33314552699583455,0.33906570210505976,0.3446969809508492,0.3535931988835141
3,0.2844729902105148,0.28432803288674513,0.28343321737597815,0.2808599660558382,0.2546765809896099
4,0.23093350934828683,0.2233251421510676,0.21530623221044823,0.20467297626644784,0.15006961452263176
5,0.17068379412630888,0.1563279663066707,0.14261113446479035,0.12634716243220429,0.060637281188002365
6,0.1088631003089204,0.089840130979876,0.07328495152372014,0.055478141754706715,1.033775286043602e-17
7,0.050499673146010275,0.029881624252921096,0.014145353714057582,-0.0005326354387161979,-0.02829739788773442
8,1.414059915196224e-17,-0.018712698443606558,-0.030001865033585894,-0.03753069245125643,-0.03001392290452635
9,-0.03927752355800797,-0.052806467142235816,-0.05688075937069718,-0.054957394516170814,-0.016537440324000646
10,-0.06531786018535224,-0.07122380400695306,-0.0668240165505858,-0.05547814175470669,-5.743196033575568e-18
11,-0.07758354278468585,-0.07473562029059923,-0.06242910178643114,-0.04402930527770861,0.01088361457220554
12,-0.07697783644942895,-0.06578698463504692,-0.04788242826259167,-0.02653820713491021,0.01286310981622558
13,-0.06564761312550339,-0.048019341117277306,-0.028095402751547514,-0.008619637554754835,0.007717472151200294
14,-0.04665561441810875,-0.025668608851393146,-0.007819319103482773,0.00547138065001348,4.020237223502896e-18
15,-0.023566514134804827,-0.002933848256658296,0.009103644557449447,0.01343684455579461,-0.005761913597049991
16,-1.414059915196224e-17,0.016590310027641005,0.02023474234438046,0.01501227698050258,-0.007146172120125321
