freq_over_symbol_rate,alpha_0.0_db,alpha_0.2_db,alpha_0.35_db,alpha_0.5_db,alpha_1.0_db
-1.5,-38.192801933551365,-36.53732508769377,-39.13819708606721,-49.034399110584495,-62.88570999516872
-1.49609375,-38.20350642988832,-36.83291486638974,-39.67427853886785,-50.450827785675685,-68.52867867431641
-1.4921875,-38.23582445446601,-37.16364414573163,-40.2735679518793,-52.18675625090274,-91.46539751227232
-1.48828125,-38.29014987473893,-37.532598055041056,-40.94599501194442,-54.40744907064961,-69.7505170401679
-1.484375,-38.36699951669035,-37.943503761450174,-41.70450339387648,-57.45896645434931,-63.337626893704204
-1.48046875,-38.467024198246904,-38.40090304917626,-42.56638350812896,-62.293865532325285,-59.66860647286249
-1.4765625,-38.59102315258796,-38.91038931607545,-43.55543846689745,-74.44850194557114,-57.08803975288676
-1.47265625,-38.739962550040175,-39.47893989740817,-44.705698461029684,-68.0914989509998,-55.09868375316895
-1.46875,-38.9149990819426,-40.115393494431174,-46.068236471383834,-60.16796638332279,-53.48313781217195
-1.46484375,-39.11750991515022,-40.83115577509902,-47.72482708969255,-56.08355225873751,-52.126704258823054
-1.4609375,-39.34913080359912,-41.64127765196032,-49.81881594776258,-53.31493172390778,-50.96143744339816
-1.45703125,-39.61180481709824,-42.566170304304585,-52.638299524782255,-51.22240620582056,-49.94376861257666
-1.453125,-39.907845115613505,-43.63446896130004,-56.9157525321839,-49.544509560760595,-49.044099972197735
-1.44921875,-40.24001661554411,-44.88811329123476,-65.87757343420604,-48.14841829286391,-48.241422287313675
-1.4453125,-40.61164351529854,-46.39208641132147,-67.57947057048798,-46.957355600983554,-47.520300630208865
-1.44140625,-41.02675289057671,-48.25511480999573,-57.39403209797124,-45.92293052406635,-46.869078669714554
-1.4375,-41.49026965289845,-50.68055940717152,-52.82040415792579,-45.01268459891545,-46.27875454767235
-1.43359375,-42.00828635465407,-54.12308090170828,-49.836605676240886,-44.203800037909396,-45.74224801248393
-1.4296875,-42.58844493597177,-60.01972014048894,-47.62222730983524,-43.479638586119265,-45.25390619295596
-1.42578125,-43.24049095077189,-94.96268740274127,-45.86520660537741,-42.82770837810652,-44.80916066276216
-1.421875,-43.97710286889243,-60.26346245735486,-44.412982043771166,-42.23840553848274,-44.40428364810116
-1.41796875,-44.8151782153532,-54.13774411071296,-43.17947837963372,-41.704201373801375,-44.036211105330196
-1.4140625,-45.777916019220335,-50.57122009362105,-42.11134562143508,-41.219098441988116,-43.702412065354224
-1.41015625,-46.898371557183864,-48.04802900292957,-41.17323508366728,-40.77825552745036,-43.40079073273916
-1.40625,-48.22594097568042,-46.09774642571952,-40.34052724623527,-40.37772242292141,-43.12961226865034
-1.40234375,-49.839255978858745,-44.51175484252269,-39.59539910569548,-40.01424824780671,-42.88744604445184
-1.3984375,-51.87501120507953,-43.17907300511801,-38.92454471869457,-39.68514031312715,-42.673122037726216
-1.39453125,-54.60436713242171,-42.03358868901509,-38.31777941192194,-39.388158546644895,-42.48569731488861
-1.390625,-58.70018647476877,-41.0327333945456,-37.76714612592369,-39.12143546711662,-42.324430423237246
-1.38671875,-66.92292774370475,-40.147493189848475,-37.266321729763234,-38.88341487603832,-42.1887621364655
-1.3828125,-71.38794984540485,-39.357214618571845,-36.81021017849418,-38.67280451814253,-42.07830144852075
-1.37890625,-60.02163651892268,-38.64668406458292,-36.39465625009339,-38.488539357933796,-41.99281604848124
-1.375,-55.23098854459346,-38.00438211622533,-36.01623951292902,-38.329753075542726,-41.93222677274647
-1.37109375,-52.145660939354016,-37.42138779392101,-35.67212312052639,-38.1957560537363,-41.89660574787992
-1.3671875,-49.86645428845455,-36.890662451672426,-35.35994096962301,-38.08601860573881,-41.88617812877614
-1.36328125,-48.06076193581767,-36.40656578618214,-35.077712277264354,-38.000158543310725,-41.90132751974108
-1.359375,-46.568293851543594,-35.964519265657614,-34.82377613845886,-37.93793244804541,-41.94260535670344
-1.35546875,-45.29941490872463,-35.560766300304124,-34.596740909431745,-37.89923021467029,-42.01074474430865
-1.3515625,-44.19890533045261,-35.19219772327223,-34.395444783360766,-37.88407260365031,-42.10667950274655
-1.34765625,-43.23033838593624,-34.856222474868105,-34.218924961392176,-37.892611686904736,-42.23156951303328
-1.34375,-42.36842759806079,-34.55067027483042,-34.066393541156124,-37.92513420741127,-42.38683389441199
-1.33984375,-41.59491355993069,-34.27371738884767,-33.93721875459327,-37.98206801213604,-42.57419415980087
-1.3359375,-40.896191187175724,-34.023829377745024,-33.83091055532832,-38.06399186953853,-42.795730360338744
-1.33203125,-40.26186233790952,-33.79971655225673,-33.74710982830574,-38.1716491610006,-43.05395448164502
-1.328125,-39.68381200643256,-33.60029909241675,-33.685580701424314,-38.30596615650271,-43.35190720658237
-1.32421875,-39.155596183323105,-33.424679640478246,-33.64620560160401,-38.46807587121176,-43.69328696452378
-1.3203125,-38.67202325872863,-33.27212177193786,-33.62898283127707,-38.65934888331814,-44.0826245417139
-1.31640625,-38.2288600044546,-33.14203317474016,-33.634026557192,-38.88143302162053,-44.5255234717482
-1.3125,-37.822620257339,-33.033952676781865,-33.66156921095528,-39.13630457538434,-45.028997837786385
-1.30859375,-37.45041000069853,-32.947540492785045,-33.711966408232456,-39.426334749770824,-45.601958523161976
-1.3046875,-37.10981183101473,-32.88257123821781,-33.785704609284316,-39.754376663916666,-46.25593325553815
-1.30078125,-36.79879752000307,-32.838929397496265,-33.88341187682129,-40.1238805528495,-47.0061692637566
-1.296875,-36.515661009187234,-32.81660704873439,-34.005872249463074,-40.53904846968009,-47.873391255450215
-1.29296875,-36.25896653175469,-32.815703747319,-34.15404445552224,-41.00504551947231,-48.88674526735314
-1.2890625,-36.02750812454137,-32.83642856332942,-34.329085963445,-41.52829396564711,-50.08903952085693
-1.28515625,-35.82027785805486,-32.87910436019259,-34.53238373240198,-42.11689215683314,-51.54683695676829
-1.28125,-35.63644085022011,-32.94417450083058,-34.765593534236174,-42.7812273689102,-53.37204015632571
-1.27734375,-35.475315650377325,-33.03221228053025,-35.030690434600906,-43.534900932151,-55.77544204995466
-1.2734375,-35.3363589548415,-33.14393352210581,-35.33003405277292,-44.39617803800755,-59.234060825718416
-1.26953125,-35.219153890541264,-33.280212940757956,-35.66645373487416,-45.39036503976426,-65.29741735783429
-1.265625,-35.12340131007037,-33.442105110020044,-36.043361048305314,-46.55393162080032,-94.58617560909614
-1.26171875,-35.04891370130557,-33.6308711600885,-36.464900493998634,-47.94218274749212,-64.5439124992221
-1.2578125,-34.99561144271399,-33.84801275049501,-36.936154824538704,-49.644926569602255,-58.58298770092183
-1.25390625,-34.96352124269393,-34.095315432755434,-37.46343024664444,-51.8228408595472,-55.03660496030509
-1.25,-34.95277669639372,-34.37490433545284,-38.054661645068066,-54.809582855046976,-52.49801755330133
-1.24609375,-34.963620983641185,-34.68931628971892,-38.720003717277955,-59.5084748432986,-50.51877756472064
-1.2421875,-34.99641182354286,-35.04159426848349,-39.47272045653676,-70.83843815832364,-48.89764400019409
-1.23828125,-35.051628901823705,-35.43541266863615,-40.330573802722554,-66.13217664144581,-47.52683541464645
-1.234375,-35.1298841039127,-35.875246078982485,-41.31809020807313,-57.842163172466535,-46.34187573872432
-1.23046875,-35.2319350299102,-36.36660071784429,-42.47046840622023,-53.6554904074658,-45.30114184370827
-1.2265625,-35.35870244990121,-36.916338434639194,-43.84079930065973,-50.83190606098492,-44.376224403417986
