block_number,latency_ms,peak_bin,peak_magnitude
0,0.157588,20,4104.46
1,0.098948,20,4096.37
2,0.10224,20,4099.77
3,0.103695,20,4070.83
4,0.166898,20,4089.33
5,0.107754,20,4110.19
6,0.113546,20,4094.11
7,0.100582,20,4075.73
8,0.148373,20,4094.11
9,0.0983,20,4076.99
10,0.095713,20,4078.21
11,0.110543,20,4073.09
12,0.102746,20,4092.18
13,0.107724,20,4095.25
14,0.150951,20,4098
15,0.120763,20,4091.96
16,0.10072,20,4097.76
17,0.104118,20,4091.55
18,0.099962,20,4093.71
19,0.104688,20,4086.87
20,0.144904,20,4091.47
21,0.116044,20,4095.83
22,0.106167,20,4095.61
23,0.109316,20,4092.78
24,0.117801,20,4082.72
25,0.120869,20,4092.4
26,0.143487,20,4074.48
27,0.099385,20,4117.31
28,0.108086,20,4104.8
29,0.098803,20,4102.11
30,0.127733,20,4117.41
31,0.108599,20,4110.53
32,0.101274,20,4077.51
33,0.158161,20,4088.09
34,0.100529,20,4079.65
35,0.102874,20,4104.22
36,0.100739,20,4094.97
37,0.100914,20,4075.61
38,0.158328,20,4107.08
39,0.135637,20,4111.55
40,0.105539,20,4092.79
41,0.103037,20,4100.12
42,0.105946,20,4102.12
43,0.109412,20,4083.49
44,0.1078,20,4087.78
45,0.101663,20,4088.74
46,0.106377,20,4084.81
47,0.101014,20,4090.2
48,0.096575,20,4062.14
49,0.122389,20,4085.86
50,0.106722,20,4085.48
51,0.10148,20,4096.79
52,0.098906,20,4090.15
53,0.14501,20,4092.79
54,0.1017,20,4095.33
55,0.099414,20,4114.28
56,0.111683,20,4089.81
57,0.106989,20,4089.42
58,0.13968,20,4096.26
59,0.09397,20,4081.21
60,0.150062,20,4115.39
61,0.103797,20,4089.88
62,0.105835,20,4102.09
63,0.104627,20,4096.41
64,0.108979,20,4101.9
65,0.116304,20,4080.64
66,0.099463,20,4102.83
67,0.113967,20,4086.29
68,0.111587,20,4101.63
69,0.105207,20,4116.29
70,0.113294,20,4096.67
71,0.133006,20,4102.16
72,0.145483,20,4101.01
73,0.10712,20,4092.65
74,0.103097,20,4089.24
75,0.135216,20,4092.5
76,0.108282,20,4108.77
77,0.106852,20,4085.4
78,0.100825,20,4086.84
79,0.126955,20,4092.56
80,0.101072,20,4094.48
81,0.1017,20,4091.4
82,0.099539,20,4097.91
83,0.099994,20,4097.69
84,0.102188,20,4084.43
85,0.107044,20,4109.27
86,0.102044,20,4084.27
87,0.098622,20,4094.76
88,0.094286,20,4090.32
89,0.099536,20,4102.26
90,0.117661,20,4110.22
91,0.167409,20,4099.39
92,0.103532,20,4087.05
93,0.109029,20,4101.18
94,0.10035,20,4091.22
95,0.113531,20,4104.89
96,0.099219,20,4111.7
97,0.110519,20,4115.6
98,0.105369,20,4086.72
99,0.105117,20,4099.04
100,0.09748,20,4099.77
101,0.117234,20,4094.44
102,0.11556,20,4083.12
103,0.121959,20,4090.44
104,0.098935,20,4087.46
105,0.147383,20,4090.89
106,0.110043,20,4086.24
107,0.119849,20,4112.86
108,0.104867,20,4104.52
109,0.121175,20,4096.85
110,0.112266,20,4117.02
111,0.106012,20,4094.6
112,0.102917,20,4085.73
113,0.132096,20,4075.49
114,0.097081,20,4086.07
115,0.098516,20,4092.89
116,0.101866,20,4079.42
117,0.106343,20,4098.36
118,0.10429,20,4107.46
119,0.103031,20,4072.45
120,0.097273,20,4094.49
121,0.141318,20,4088.74
122,0.104219,20,4088.77
123,0.109616,20,4067.28
124,0.098306,20,4095.84
125,0.120507,20,4091.39
126,0.099769,20,4106.6
127,0.108714,20,4086.67
128,0.110837,20,4091.78
129,0.156824,20,4102.48
130,0.100163,20,4098.06
131,0.116737,20,4085.41
132,0.092708,20,4101.4
133,0.096567,20,4086.16
134,0.14667,20,4116.4
135,0.098954,20,4099.8
136,0.100659,20,4104.9
137,0.113446,20,4072.77
138,0.100371,20,4101.96
139,0.098256,20,4083.85
140,0.105226,20,4100.64
141,0.137888,20,4085.26
142,0.102125,20,4079.68
143,0.098594,20,4101.47
144,0.104908,20,4080.31
145,0.138637,20,4107.19
146,0.11853,20,4093.83
147,0.106464,20,4086.3
148,0.099979,20,4082.26
149,0.120991,20,4100.5
150,0.147578,20,4100.71
151,0.096664,20,4108.9
152,0.099239,20,4103.19
153,0.158373,20,4091.07
154,0.103018,20,4096.76
155,0.093101,20,4093.75
156,0.1,20,4097.09
157,0.133728,20,4100.65
158,0.09676,20,4071.77
159,0.111835,20,4095.26
160,0.096016,20,4087.42
161,0.099191,20,4094.08
162,0.106473,20,4097.76
163,0.10301,20,4099.23
164,0.103642,20,4116.94
165,0.108596,20,4119.81
166,0.105682,20,4099.19
167,0.117791,20,4092.01
168,0.107606,20,4111.26
169,0.096148,20,4074.07
170,0.09353,20,4105.78
171,0.101859,20,4104.23
172,0.098353,20,4096.4
173,0.11259,20,4096.96
174,0.105087,20,4097.71
175,0.108897,20,4087.94
176,0.099788,20,4100.34
177,0.106592,20,4105.4
178,0.110348,20,4092.74
179,0.105085,20,4111.21
180,0.160525,20,4103.7
181,0.10511,20,4106.62
182,0.1633,20,4089.3
183,0.109314,20,4098.62
184,0.106398,20,4097
185,0.099319,20,4103.55
186,0.108953,20,4092.85
187,0.104472,20,4101.4
188,0.12168,20,4111.47
189,0.104653,20,4119.72
190,0.129038,20,4089.52
191,0.106619,20,4106.93
192,0.105792,20,4092.87
193,0.101688,20,4099.76
194,0.102837,20,4082.35
195,0.100143,20,4067.84
196,0.103145,20,4088.46
197,0.137928,20,4080.53
198,0.10858,20,4096.49
199,0.101429,20,4093.08
200,0.102036,20,4090.2
201,0.121939,20,4084.59
202,0.106617,20,4100.26
203,0.102148,20,4097.12
204,0.104921,20,4092.09
205,0.101721,20,4112.15
206,0.095575,20,4087.06
207,0.108247,20,4106.89
208,0.099776,20,4101.94
209,0.124203,20,4078.82
210,0.16032,20,4098.96
211,0.113456,20,4094
212,0.100639,20,4098
213,0.109734,20,4093.08
214,0.094627,20,4093.42
215,0.09601,20,4093.6
216,0.104105,20,4088.24
217,0.099009,20,4089.49
218,0.098787,20,4094.93
219,0.112918,20,4095.38
220,0.14275,20,4109.35
221,0.103334,20,4088.65
222,0.099985,20,4099.04
223,0.095483,20,4105.85
224,0.123912,20,4089.49
225,0.125319,20,4091.93
226,0.107153,20,4090.44
227,0.106338,20,4101.37
228,0.107346,20,4089.54
229,0.104359,20,4110.3
230,0.120297,20,4085.73
231,0.105404,20,4089.13
232,0.112974,20,4097.25
233,0.09955,20,4096.52
234,0.103189,20,4088.5
235,0.097423,20,4101.94
236,0.117957,20,4101.85
237,0.100822,20,4086.3
238,0.109016,20,4112.98
239,0.107295,20,4107.12
240,0.106867,20,4107.61
241,0.103823,20,4127.72
242,0.102593,20,4086.12
243,0.102997,20,4099.87
244,0.106016,20,4084.25
245,0.103553,20,4094.04
246,0.107052,20,4093.77
247,0.144989,20,4102.88
248,0.103814,20,4093.89
249,0.099041,20,4120.67
250,0.110305,20,4080.64
251,0.114562,20,4085.69
252,0.103177,20,4082.83
253,0.131551,20,4100.97
254,0.161608,20,4119.62
255,0.099128,20,4088.71
256,0.113875,20,4101.23
257,0.11057,20,4077.82
258,0.103348,20,4068.02
259,0.101942,20,4087.83
260,0.097798,20,4113.6
261,0.098835,20,4083.01
262,0.09894,20,4083.44
263,0.09961,20,4081.28
264,0.099904,20,4090.25
265,0.113706,20,4077.91
266,0.104028,20,4094.36
267,0.100403,20,4118.95
268,0.107283,20,4084.52
269,0.097418,20,4103.35
270,0.126833,20,4093.72
271,0.101458,20,4101.52
272,0.183536,20,4099.47
273,0.105452,20,4101.67
274,0.105997,20,4082
275,0.107809,20,4099.25
276,0.117696,20,4094.98
277,0.122599,20,4089.13
278,0.107784,20,4106.97
279,0.10964,20,4080.8
280,0.108042,20,4098.93
281,0.101214,20,4086.09
282,0.131926,20,4074.42
283,0.101158,20,4099.76
284,0.108184,20,4107.39
285,0.121921,20,4094.13
286,0.1182,20,4091.45
287,0.103738,20,4123.28
288,0.102805,20,4098.96
289,0.102243,20,4082.58
290,0.151357,20,4096.47
291,0.108239,20,4106.52
292,0.106612,20,4080.79
293,0.097271,20,4099.22
294,0.119443,20,4092
295,0.101099,20,4083.83
296,0.101113,20,4084.36
297,0.149064,20,4098.48
298,0.096393,20,4093.34
299,0.090644,20,4101.17
300,0.114494,20,4104.43
301,0.099502,20,4099.46
302,0.128749,20,4101.14
303,0.129414,20,4115.55
304,0.110568,20,4087.11
305,0.100622,20,4108.34
306,0.102669,20,4101.71
307,0.104519,20,4077.08
308,0.097759,20,4126.2
309,0.10048,20,4115.01
310,0.109034,20,4093.95
311,0.108705,20,4095.26
312,0.143384,20,4082.7
313,0.222056,20,4088.05
314,0.110202,20,4079.13
315,0.095542,20,4100.87
316,0.103444,20,4096.26
317,0.108419,20,4086.85
318,0.101779,20,4111.2
319,0.162948,20,4099.08
320,0.097277,20,4089.54
321,0.098824,20,4092.15
322,0.098928,20,4091.19
323,0.095933,20,4081.63
324,0.094668,20,4100.46
325,0.099481,20,4100.96
326,0.108662,20,4103.9
327,0.109092,20,4092.14
328,0.097263,20,4088.04
329,0.097716,20,4089.19
330,0.095451,20,4100.45
331,0.098731,20,4111.97
332,0.102489,20,4106.21
333,0.103161,20,4097.68
334,0.096459,20,4090.15
335,0.097261,20,4098.11
336,0.112551,20,4096
337,0.103228,20,4102.47
338,0.100683,20,4088.4
339,0.100285,20,4086.71
340,0.099091,20,4095.04
341,0.100394,20,4093.15
342,0.10306,20,4104.84
343,0.101295,20,4093.09
344,0.106136,20,4094.56
345,0.099893,20,4103.83
346,0.106849,20,4097.49
347,0.095901,20,4097.81
348,0.110953,20,4102.93
349,0.14713,20,4096.22
350,0.09596,20,4088.82
351,0.095042,20,4098.45
352,0.127585,20,4094.93
353,0.103213,20,4076.06
354,0.099168,20,4095.99
355,0.101597,20,4087.86
356,0.100762,20,4097.18
357,0.107898,20,4095.1
358,0.139077,20,4085.74
359,0.097609,20,4100.97
360,0.116331,20,4093.78
361,0.104072,20,4118.49
362,0.102891,20,4112.21
363,0.111601,20,4090.44
364,0.1045,20,4070.32
365,0.101388,20,4096.4
366,0.105344,20,4097.61
367,0.097282,20,4089.3
368,0.099907,20,4092.74
369,0.095851,20,4089.91
370,0.112876,20,4104.56
371,0.128849,20,4074.36
372,0.105969,20,4096.33
373,0.118404,20,4080.3
374,0.092069,20,4077.41
375,0.098359,20,4098.76
376,0.100991,20,4083.07
377,0.100923,20,4099.34
378,0.11023,20,4095.57
379,0.102264,20,4090.23
380,0.099525,20,4070.83
381,0.098891,20,4109.51
382,0.098025,20,4105.54
383,0.096482,20,4095.83
384,0.102462,20,4088.61
385,0.104694,20,4092.25
386,0.10946,20,4099.17
387,0.104034,20,4078.33
388,0.096806,20,4115.3
389,0.113033,20,4093.5
390,0.0963,20,4113.43
391,0.104891,20,4106.09
392,0.097055,20,4095.12
393,0.104175,20,4095.49
394,0.101059,20,4104.7
395,0.118354,20,4082.91
396,0.108458,20,4090.9
397,0.101507,20,4092.2
398,0.093722,20,4109.18
399,0.102951,20,4083.06
400,0.098486,20,4093.6
401,0.101696,20,4095.95
402,0.1307,20,4101.1
403,0.108283,20,4095.89
404,0.103688,20,4100
405,0.098378,20,4104.61
406,0.122048,20,4084.63
407,0.099537,20,4101.47
408,0.095864,20,4110.97
409,0.110379,20,4119.39
410,0.10323,20,4096.55
411,0.098784,20,4108.09
412,0.110049,20,4096.96
413,0.091877,20,4119.67
414,0.133078,20,4108.33
415,0.093839,20,4086.69
416,0.115068,20,4107.39
417,0.097313,20,4099.68
418,0.122702,20,4101.34
419,0.098538,20,4080.25
420,0.095212,20,4091.07
421,0.098812,20,4090.45
422,0.114227,20,4078.11
423,0.105396,20,4116.19
424,0.093641,20,4073.75
425,0.098142,20,4110.58
426,0.102727,20,4079.92
427,0.109983,20,4110.55
428,0.097804,20,4078.88
429,0.129049,20,4100.33
430,0.098989,20,4095.51
431,0.106884,20,4089.97
432,0.117392,20,4078.41
433,0.102655,20,4097.84
434,0.120649,20,4078.29
435,0.098447,20,4093.82
436,0.101938,20,4072.17
437,0.101545,20,4080.65
438,0.10557,20,4091
439,0.100198,20,4083.47
440,0.09583,20,4089.1
441,0.092361,20,4111.99
442,0.104965,20,4093.56
443,0.099024,20,4099
444,0.105375,20,4075.14
445,0.116433,20,4101.75
446,0.099933,20,4090.27
447,0.09676,20,4093.11
448,0.103173,20,4082.83
449,0.115335,20,4099.08
450,0.094683,20,4097.18
451,0.139088,20,4092.94
452,0.1051,20,4081.6
453,0.106162,20,4088.79
454,0.103481,20,4097.91
455,0.119782,20,4091.66
456,0.101773,20,4096.06
457,0.136846,20,4084.75
458,0.101506,20,4110.95
459,0.098278,20,4097.52
460,0.097186,20,4093.49
461,0.149891,20,4091.73
462,0.100392,20,4091.64
463,0.095791,20,4094.39
464,0.111033,20,4101.35
465,0.09995,20,4095.84
466,0.147497,20,4098.04
467,0.098712,20,4094.38
468,0.102301,20,4107.83
469,0.10431,20,4108.34
470,0.101154,20,4084.21
471,0.114515,20,4091.99
472,0.102875,20,4096.27
473,0.114716,20,4087.24
474,0.124031,20,4089.15
475,0.102867,20,4101.05
476,0.125093,20,4089.9
477,0.100116,20,4089.82
478,0.102645,20,4091.74
479,0.105288,20,4111.48
480,0.10009,20,4094.64
481,0.102299,20,4096.47
482,0.097524,20,4092.46
483,0.116984,20,4076.2
484,0.093783,20,4092.12
485,0.105799,20,4098.53
486,0.102817,20,4079.75
487,0.103088,20,4108.48
488,0.104701,20,4091.14
489,0.101773,20,4093.55
490,0.103382,20,4094.64
491,0.097636,20,4093.93
492,0.144683,20,4098.84
493,0.099258,20,4096.78
494,0.093063,20,4090.18
495,0.101239,20,4083.97
496,0.1076,20,4094.76
497,0.099737,20,4086.56
498,0.100103,20,4101.12
499,0.117444,20,4106.35
500,0.09755,20,4107.74
501,0.114801,20,4086.79
502,0.117354,20,4096.49
503,0.104449,20,4095.94
504,0.0986,20,4095.07
505,0.102795,20,4102.84
506,0.153156,20,4085.87
507,0.111662,20,4103.72
508,0.104444,20,4100.3
509,0.098131,20,4104.43
510,0.100148,20,4090.55
511,0.102765,20,4096.5
512,0.099523,20,4099.51
513,0.146836,20,4078.4
514,0.107877,20,4082.97
515,0.101816,20,4091.82
516,0.105078,20,4098.39
517,0.1399,20,4078.44
518,0.106626,20,4095.65
519,0.104982,20,4101.75
520,0.105524,20,4095.92
521,0.11493,20,4093.86
522,0.112715,20,4112.67
523,0.1007,20,4078.77
524,0.112593,20,4081.63
525,0.109277,20,4107.16
526,0.10495,20,4096.39
527,0.102068,20,4089.98
528,0.108154,20,4106.12
